Item_name,Number,ExpiryDate
霸味鴨肉丸125G,3,2024-03-16
日式火鍋料350克,15,2024-03-08
鱈魚湯包200G,7,2024-02-01
淡水魚丸180G,10,2024-02-15
虱目魚丸195G,9,2024-02-08
蟳肉角155G,6,2024-03-31
龍蝦沙拉丸170G,8,2024-04-09
捌貨虱目魚丸(300G/臺灣),2,2024-03-09
捌貨手工花枝丸(300G/臺灣),11,2024-04-26
綜合火鍋料(500G/臺灣),5,2024-04-07
捌貨芋頭貢丸(300G/臺灣),13,2024-02-10
澳洲黑毛和牛肉片100G,16,2024-03-01
NG油花多帶骨牛小排500G,5,2024-04-21
原味鴨舌,5,2024-04-26
新*日本和牛霜降肉片100G,10,2024-03-07
特製雞軟骨,14,2024-02-05
辣味花生魚乾150G,6,2024-02-26
牛肋條400克(不可單賣),3,2024-03-12
背肩牛排(不可單賣),3,2024-04-10
比臉大牛排21盎司,4,2024-04-22
牛五花300克,3,2024-02-04
100%日本和牛漢堡排(100G±5%),6,2024-04-20
安格斯牛絞肉250克,3,2024-04-26
STAR骰子牛100G,14,2024-04-18
澳洲全血和牛100G,7,2024-02-02
STAR雪花牛100G,10,2024-04-28
袋裝牛五花500G,6,2024-04-06
日本F1和牛沙郎牛排(200克),10,2024-04-23
美國牛橫膈膜(300G±5%),10,2024-03-13
日本和牛霜降火鍋片(100g/日本),10,2024-03-13
退*M9和牛100G,5,2024-02-08
牛舌150克,2,2024-04-13
A.牛排館鹹奶油小餐包,2,2024-02-28
鮮奶饅頭390G/6顆,2,2024-04-26
古早味蔥蛋餅皮10片(600G/臺灣),27,2024-04-20
彩色銀絲卷(500G/臺灣),7,2024-03-17
蘿蔔糕(20片/1KG/包/臺灣),5,2024-02-09
現烤香蒜麵包,5,2024-03-13
手工蔥油餅(440克/臺灣),7,2024-02-19
D.義式青醬,6,2024-02-17
A.咖哩龍蝦厚片,5,2024-02-04
B.泰式打拋豬,6,2024-02-03
C.起司火腿厚片,2,2024-02-17
D.培根披薩厚片,8,2024-04-30
E.德式香腸披薩,4,2024-04-02
F.龍蝦沙拉披薩,6,2024-04-24
G.義大利肉醬披薩,4,2024-02-13
H.燻雞肉披薩,7,2024-04-18
野生鮮凍螺肉200G,6,2024-04-22
魷魚足2隻裝,13,2024-04-27
東北角船凍盒捲(300G/臺灣),2,2024-03-17
13香軟絲,3,2024-04-21
巴西活凍龍蝦尾,3,2024-04-14
日本3S干貝1KG,4,2024-03-15
北海道手釣透抽,4,2024-03-16
台灣黑蜆(600g/台東),4,2024-02-21
臺灣小卷600克,7,2024-04-07
宮城縣生蠔4顆裝,5,2024-02-23
魷魚頭(200克),2,2024-04-01
特級干貝,2,2024-03-20
蟹管肉(100G/中國),3,2024-02-04
梅花豬肉片100克,6,2024-04-23
葉黃素果凍,5,2024-04-26
天然靈芝蛋3斤重,4,2024-02-25
A.去牙結石護理牙膏(綠),3,2024-04-30
B.去牙結石亮白牙膏(紅),3,2024-02-23
酵母空姐噴霧100ML,6,2024-02-09
自然銀美白還原大銀瓶,3,2024-04-01
A.霧藍深層清潔洗髮精,3,2024-03-22
D.桃紅修護保濕潤髮乳,3,2024-04-17
布丁風味200ML*24瓶,3,2024-03-15
青蘋果風味200ML*24瓶,3,2024-04-26
窈窕茶3G*48/袋,3,2024-04-05
牛奶洗面乳,5,2024-02-10
福氣門貼4對裝,2,2024-03-31
萬用導流瀝水籃,2,2024-04-29
蒸氣暖膝貼,4,2024-02-04
廚房防燙三件組,4,2024-02-17
B.棉花香衣物香氛袋,2,2024-04-25
A.紫丁香衣物香氛袋,2,2024-03-30
掛繩背帶(隨機出),2,2024-03-15
寵物濕紙巾,9,2024-02-05
華崗翠玉茶包,2,2024-02-04
開罐器,3,2024-03-22
水光氣墊粉餅,3,2024-04-16
BB糖衣錠,3,2024-03-01
韓國漢方族貼4款,3,2024-03-28
6年根人蔘飲,5,2024-03-29
透明質酸鈉精華液30入,5,2024-04-11
二裂酵母精華液30入,5,2024-04-30
嬌潤泉洗面乳,3,2024-03-07
M+原味炸腿排(4支/臺灣),13,2024-04-29
M+辣味炸腿排(4支/臺灣),11,2024-03-25
小美樂土魠魚塊1KG,2,2024-03-03
M+原味炸雞胸(5支/臺灣),2,2024-03-10
